order_id,signal_id,ts_ms,market_id,token_id,side,signal_side,signal_type,edge,market_lag,game_time,intended_price,intended_size,filled,fill_price,fill_ts_ms,exit_bid_15s,pnl_15s,exit_bid_30s,pnl_30s,exit_bid_60s,pnl_60s,exit_bid_120s,pnl_120s,edge_bucket,minute_bucket
21,21,1778331632756,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.11224899999999999,0.132249,2234.0,0.92,17.0,1,0.91,1778331633634.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,10-15%,30-45
22,22,1778331633287,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.11224899999999999,0.132249,2234.0,0.92,17.0,1,0.91,1778331633634.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,10-15%,30-45
23,23,1778331633813,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.11224899999999999,0.132249,2234.0,0.92,17.0,1,0.91,1778331634163.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,10-15%,30-45
24,24,1778331634341,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.11224899999999999,0.132249,2239.0,0.92,17.0,1,0.91,1778331635981.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,10-15%,30-45
25,25,1778331634878,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.11224899999999999,0.132249,2239.0,0.92,17.0,1,0.91,1778331635981.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,10-15%,30-45
26,26,1778331636493,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.11224899999999999,0.132249,2239.0,0.92,17.0,1,0.91,1778331637208.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,10-15%,30-45
27,27,1778331637553,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.11224899999999999,0.132249,2239.0,0.92,17.0,1,0.91,1778331638104.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,10-15%,30-45
28,28,1778331638638,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.11224899999999999,0.132249,2239.0,0.92,17.0,0,,,0.89,,0.89,,0.89,,0.89,,10-15%,30-45
29,29,1778331641263,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.09764199999999998,0.117642,2239.0,0.92,17.0,1,0.91,1778331641320.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,7.5-10%,30-45
30,30,1778331641794,2202741,70520401931058130523229455095601731672552061682919567767017408914399088307978,BUY,BUY_RADIANT_YES,VISIBLE_FIGHT_UNDERREACTION,0.09764199999999998,0.117642,2239.0,0.92,17.0,1,0.91,1778331643202.0,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,0.89,-0.020000000000000018,7.5-10%,30-45
